Date,Job_Type,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Income_Total,Jobs_Completed,Job_Duration_Days,Hours_Worked,Expenses_Total,Platform_Count,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month
2024-01-26,Freelance,Tech Services,1,75.01,7.6,0.0,0,0,6,1079.16,1,-31100.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-27,Freelance,Tech Services,0,74.28,8.1,0.0,0,0,9,1358.76,1,-40100.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-28,Freelance,Tech Services,0,74.58,7.6,0.0,0,0,0,1930.97,1,-52000.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-29,Freelance,Tech Services,0,73.92,7.7,0.0,0,0,10,1420.61,1,-41500.0,0.0,2024-01,73988.75,90287.67,120100.0
2024-01-30,Freelance,Tech Services,0,74.34,8.1,20100.16,1,19,2,1939.76,1,488400.0,7597.15,2024-01,73988.75,90287.67,120100.0
2024-01-31,Freelance,Tech Services,0,75.5,7.7,0.0,0,0,5,970.57,1,-26800.0,7597.15,2024-01,73988.75,90287.67,120100.0
2024-02-01,Freelance,Tech Services,0,76.7,8.0,33833.34,1,11,2,1115.61,1,958300.0,13742.67,2024-02,115339.48,64924.75,121800.0
2024-02-02,Freelance,Tech Services,0,75.43,7.3,0.0,0,0,10,1801.02,1,-48900.0,13742.67,2024-02,115339.48,64924.75,121800.0
2024-02-03,Freelance,Tech Services,0,76.75,7.5,0.0,0,0,6,1958.35,1,-57900.0,13742.67,2024-02,115339.48,64924.75,121800.0
2024-02-04,Freelance,Tech Services,0,74.81,8.0,0.0,0,0,0,2494.21,1,-70900.0,13742.67,2024-02,115339.48,64924.75,121800.0
2024-02-05,Freelance,Tech Services,0,76.87,8.1,0.0,0,0,5,5138.37,1,-142300.0,13742.67,2024-02,115339.48,64924.75,121800.0
2024-02-06,Freelance,Tech Services,0,75.95,7.9,0.0,0,0,6,1061.3,1,-29700.0,12787.8,2024-02,115339.48,64924.75,121800.0
2024-02-07,Freelance,Tech Services,0,76.11,8.0,0.0,0,0,9,1646.64,1,-45500.0,12787.8,2024-02,115339.48,64924.75,121800.0
2024-02-08,Freelance,Tech Services,0,75.85,7.8,0.0,0,0,8,13287.47,1,-382600.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-09,Freelance,Tech Services,0,75.7,7.6,0.0,0,0,5,1112.29,1,-31200.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-10,Freelance,Tech Services,0,75.61,7.5,0.0,0,0,9,1309.0,1,-37700.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-11,Freelance,Tech Services,0,75.72,7.6,0.0,0,0,0,1566.27,1,-42200.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-12,Freelance,Tech Services,0,75.23,7.8,0.0,0,0,5,2392.19,1,-63800.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-13,Freelance,Tech Services,0,76.5,8.0,44792.43,1,6,8,441.63,1,1183300.0,16929.95,2024-02,115339.48,64924.75,121800.0
2024-02-14,Freelance,Tech Services,0,75.04,7.6,0.0,0,0,5,1447.16,1,-41400.0,16929.95,2024-02,115339.48,64924.75,121800.0
2024-02-15,Freelance,Tech Services,0,76.32,7.6,36713.71,1,20,7,1194.26,1,941200.0,20021.75,2024-02,115339.48,64924.75,121800.0
2024-02-16,Freelance,Tech Services,0,75.75,7.9,0.0,0,0,6,1449.73,1,-41600.0,20021.75,2024-02,115339.48,64924.75,121800.0
2024-02-17,Freelance,Tech Services,0,75.4,7.8,0.0,0,0,5,604.42,1,-16400.0,20021.75,2024-02,115339.48,64924.75,121800.0
2024-02-18,Freelance,Tech Services,0,75.24,7.7,0.0,0,0,0,1949.87,1,-54000.0,20021.75,2024-02,115339.48,64924.75,121800.0
2024-02-19,Freelance,Tech Services,0,76.08,7.5,0.0,0,0,8,1074.04,1,-31300.0,20021.75,2024-02,115339.48,64924.75,121800.0
2024-02-20,Freelance,Tech Services,0,76.16,7.8,0.0,0,0,10,1477.09,1,-40900.0,13876.48,2024-02,115339.48,64924.75,121800.0
2024-02-21,Freelance,Tech Services,0,76.24,7.8,0.0,0,0,9,455.43,1,-12700.0,13876.48,2024-02,115339.48,64924.75,121800.0
2024-02-22,Freelance,Tech Services,0,76.66,7.8,0.0,0,0,8,2949.26,1,-86800.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-23,Freelance,Tech Services,0,75.79,7.8,0.0,0,0,10,1954.77,1,-57600.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-24,Freelance,Tech Services,0,76.29,7.8,0.0,0,0,6,5239.98,1,-155000.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-25,Freelance,Tech Services,0,76.06,7.7,0.0,0,0,0,2198.06,1,-58700.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-26,Freelance,Tech Services,0,75.73,7.5,0.0,0,0,5,1882.1,1,-53100.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-27,Freelance,Tech Services,0,76.96,7.6,0.0,0,0,9,942.24,1,-26500.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-28,Freelance,Tech Services,0,75.75,7.7,0.0,0,0,4,4267.2,1,-121100.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-02-29,Freelance,Tech Services,0,76.57,7.7,0.0,0,0,6,514.79,1,-14400.0,0.0,2024-02,115339.48,64924.75,121800.0
2024-03-01,Freelance,Tech Services,0,76.64,7.7,27589.11,1,17,5,911.43,1,772600.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-02,Freelance,Tech Services,0,76.07,7.6,0.0,0,0,5,1622.87,1,-46700.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-03,Freelance,Tech Services,0,76.92,7.6,0.0,0,0,0,1855.94,1,-49100.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-04,Freelance,Tech Services,0,75.92,7.9,0.0,0,0,6,11843.22,1,-333000.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-05,Freelance,Tech Services,0,75.89,7.8,0.0,0,0,4,4766.14,1,-135300.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-06,Freelance,Tech Services,0,75.53,7.8,0.0,0,0,7,513.36,1,-14800.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-07,Freelance,Tech Services,0,75.44,8.0,0.0,0,0,5,1445.18,1,-38900.0,10427.7,2024-03,115903.8,63783.65,122300.0
2024-03-08,Freelance,Tech Services,0,76.53,7.7,0.0,0,0,7,694.87,1,-19100.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-09,Freelance,Tech Services,0,74.66,7.8,0.0,0,0,6,913.84,1,-25900.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-10,Freelance,Tech Services,0,76.55,7.6,0.0,0,0,0,666.76,1,-18400.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-11,Freelance,Tech Services,0,76.0,8.1,0.0,0,0,10,2200.34,1,-64100.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-12,Freelance,Tech Services,0,74.82,7.9,0.0,0,0,8,726.83,1,-19700.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-13,Freelance,Tech Services,0,75.82,7.7,0.0,0,0,7,2265.06,1,-63500.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-14,Freelance,Tech Services,0,74.82,7.7,0.0,0,0,5,1065.82,1,-29500.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-15,Freelance,Tech Services,0,74.33,7.7,47912.87,1,11,6,2206.08,1,1213400.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-16,Freelance,Tech Services,0,74.15,7.8,0.0,0,0,9,1043.91,1,-27900.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-17,Freelance,Tech Services,0,74.29,7.8,0.0,0,0,0,2267.81,1,-62200.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-18,Freelance,Tech Services,0,73.81,7.9,0.0,0,0,5,5892.37,1,-163600.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-19,Freelance,Tech Services,0,74.92,7.4,0.0,0,0,10,1944.87,1,-53700.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-20,Freelance,Tech Services,0,74.61,8.0,0.0,0,0,8,1997.03,1,-54400.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-21,Freelance,Tech Services,0,73.73,8.1,0.0,0,0,5,1489.68,1,-42700.0,18109.36,2024-03,115903.8,63783.65,122300.0
2024-03-22,Freelance,Tech Services,0,74.46,7.7,0.0,0,0,10,1321.37,1,-35400.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-23,Freelance,Tech Services,0,74.14,7.9,0.0,0,0,9,1612.15,1,-45000.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-24,Freelance,Tech Services,0,74.13,7.9,0.0,0,0,0,2150.96,1,-59300.0,0.0,2024-03,115903.8,63783.65,122300.0
2024-03-25,Freelance,Tech Services,1,73.54,7.8,18788.49,1,18,2,874.98,1,492100.0,7101.38,2024-03,115903.8,63783.65,122300.0
2024-03-26,Freelance,Tech Services,0,73.21,7.8,0.0,0,0,5,1472.81,1,-42400.0,7101.38,2024-03,115903.8,63783.65,122300.0
2024-03-27,Freelance,Tech Services,0,73.38,7.7,0.0,0,0,4,1257.57,1,-36700.0,7101.38,2024-03,115903.8,63783.65,122300.0
2024-03-28,Freelance,Tech Services,0,74.37,8.0,0.0,0,0,9,2502.4,1,-70400.0,7101.38,2024-03,115903.8,63783.65,122300.0
2024-03-29,Freelance,Tech Services,0,73.97,7.6,0.0,0,0,6,1949.62,1,-54100.0,7101.38,2024-03,115903.8,63783.65,122300.0
2024-03-30,Freelance,Tech Services,0,73.43,8.0,21613.33,1,18,5,594.05,1,596500.0,9890.71,2024-03,115903.8,63783.65,122300.0
2024-03-31,Freelance,Tech Services,0,73.57,8.3,0.0,0,0,0,1714.33,1,-49900.0,9890.71,2024-03,115903.8,63783.65,122300.0
2024-04-01,Freelance,Tech Services,0,73.71,8.3,17318.78,1,8,8,1997.56,1,428100.0,9579.02,2024-04,63856.68,68238.33,82900.0
2024-04-02,Freelance,Tech Services,0,73.38,8.3,0.0,0,0,10,1786.24,1,-49500.0,9579.02,2024-04,63856.68,68238.33,82900.0
2024-04-03,Freelance,Tech Services,0,73.47,8.4,0.0,0,0,4,1385.49,1,-40300.0,9579.02,2024-04,63856.68,68238.33,82900.0
2024-04-04,Freelance,Tech Services,0,74.04,8.1,0.0,0,0,6,2466.05,1,-67800.0,9579.02,2024-04,63856.68,68238.33,82900.0
2024-04-05,Freelance,Tech Services,0,72.91,7.9,0.0,0,0,4,4446.27,1,-125000.0,9579.02,2024-04,63856.68,68238.33,82900.0
2024-04-06,Freelance,Tech Services,0,73.85,8.1,0.0,0,0,5,1628.71,1,-45900.0,6545.88,2024-04,63856.68,68238.33,82900.0
2024-04-07,Freelance,Tech Services,0,72.53,8.4,0.0,0,0,0,2091.55,1,-57300.0,6545.88,2024-04,63856.68,68238.33,82900.0
2024-04-08,Freelance,Tech Services,0,74.87,8.3,0.0,0,0,10,1173.85,1,-31100.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-09,Freelance,Tech Services,0,74.06,8.3,0.0,0,0,10,1323.9,1,-36800.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-10,Freelance,Tech Services,1,73.61,8.5,0.0,0,0,9,15121.21,1,-414400.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-11,Freelance,Tech Services,0,73.53,8.4,0.0,0,0,8,1221.43,1,-35400.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-12,Freelance,Tech Services,0,73.85,8.2,0.0,0,0,8,626.13,1,-18200.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-13,Freelance,Tech Services,0,74.2,8.3,0.0,0,0,10,2267.34,1,-61600.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-14,Freelance,Tech Services,1,73.34,8.4,0.0,0,0,0,2135.16,1,-62500.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-15,Freelance,Tech Services,0,73.28,8.3,16267.85,1,13,4,1894.77,1,385800.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-16,Freelance,Tech Services,0,73.74,8.5,0.0,0,0,5,2241.09,1,-64500.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-17,Freelance,Tech Services,0,74.0,8.3,0.0,0,0,5,1970.01,1,-57300.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-18,Freelance,Tech Services,0,74.19,8.6,0.0,0,0,8,1101.58,1,-31700.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-19,Freelance,Tech Services,0,74.07,8.3,0.0,0,0,6,2470.09,1,-71900.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-20,Freelance,Tech Services,0,73.16,8.1,0.0,0,0,10,2469.55,1,-72300.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-21,Freelance,Tech Services,0,73.67,8.2,0.0,0,0,0,2052.22,1,-59800.0,6148.67,2024-04,63856.68,68238.33,82900.0
2024-04-22,Freelance,Tech Services,0,73.75,8.3,0.0,0,0,9,1124.9,1,-32100.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-23,Freelance,Tech Services,0,74.12,8.3,0.0,0,0,4,2080.6,1,-58500.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-24,Freelance,Tech Services,0,74.12,8.3,0.0,0,0,6,1434.01,1,-42000.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-25,Freelance,Tech Services,0,72.9,8.1,0.0,0,0,4,1972.01,1,-54500.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-26,Freelance,Tech Services,0,73.83,8.1,0.0,0,0,8,1572.6,1,-44100.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-27,Freelance,Tech Services,0,74.22,8.6,0.0,0,0,6,1239.5,1,-34700.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-28,Freelance,Tech Services,0,74.54,8.3,0.0,0,0,0,1562.97,1,-45300.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-29,Freelance,Tech Services,0,74.7,8.3,0.0,0,0,4,2083.0,1,-61800.0,0.0,2024-04,63856.68,68238.33,82900.0
2024-04-30,Freelance,Tech Services,0,73.8,8.2,30270.05,1,9,7,1298.54,1,775300.0,11441.0,2024-04,63856.68,68238.33,82900.0
2024-05-01,Freelance,Tech Services,0,73.85,8.2,27891.24,1,7,4,12410.65,1,447500.0,14206.51,2024-05,173300.79,61579.45,179500.0
2024-05-02,Freelance,Tech Services,0,74.1,8.3,0.0,0,0,4,1563.15,1,-42000.0,14206.51,2024-05,173300.79,61579.45,179500.0
2024-05-03,Freelance,Tech Services,0,74.03,8.4,0.0,0,0,9,1143.66,1,-30700.0,14206.51,2024-05,173300.79,61579.45,179500.0
2024-05-04,Freelance,Tech Services,0,74.64,8.5,0.0,0,0,9,648.23,1,-18700.0,14206.51,2024-05,173300.79,61579.45,179500.0
2024-05-05,Freelance,Tech Services,0,73.32,7.8,0.0,0,0,0,4739.25,1,-127500.0,14206.51,2024-05,173300.79,61579.45,179500.0
2024-05-06,Freelance,Tech Services,0,74.54,8.0,0.0,0,0,10,2434.11,1,-64900.0,14206.51,2024-05,173300.79,61579.45,179500.0
2024-05-07,Freelance,Tech Services,0,73.98,8.1,0.0,0,0,8,1800.31,1,-51300.0,10541.9,2024-05,173300.79,61579.45,179500.0
2024-05-08,Freelance,Tech Services,0,73.21,8.4,0.0,0,0,7,1734.05,1,-50900.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-09,Freelance,Tech Services,0,74.5,8.2,0.0,0,0,4,1641.1,1,-45100.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-10,Freelance,Tech Services,0,72.84,8.2,0.0,0,0,6,1649.62,1,-47500.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-11,Freelance,Tech Services,0,74.35,8.0,0.0,0,0,9,647.05,1,-17600.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-12,Freelance,Tech Services,0,74.26,8.3,0.0,0,0,0,860.51,1,-25000.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-13,Freelance,Tech Services,0,74.47,8.3,0.0,0,0,5,1291.52,1,-36700.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-14,Freelance,Tech Services,0,73.71,8.5,0.0,0,0,4,2978.56,1,-87100.0,0.0,2024-05,173300.79,61579.45,179500.0
2024-05-15,Freelance,Tech Services,0,74.14,8.3,35282.63,1,16,6,2116.08,1,960400.0,13335.58,2024-05,173300.79,61579.45,179500.0
2024-05-16,Freelance,Tech Services,0,73.76,8.2,17558.81,1,13,3,490.63,1,479600.0,13870.16,2024-05,173300.79,61579.45,179500.0
2024-05-17,Freelance,Tech Services,0,73.8,8.3,0.0,0,0,8,2024.49,1,-57800.0,13870.16,2024-05,173300.79,61579.45,179500.0
2024-05-18,Freelance,Tech Services,0,75.12,8.0,0.0,0,0,5,1001.15,1,-27100.0,13870.16,2024-05,173300.79,61579.45,179500.0
2024-05-19,Freelance,Tech Services,0,73.47,8.6,0.0,0,0,0,1544.63,1,-45000.0,13870.16,2024-05,173300.79,61579.45,179500.0
2024-05-20,Freelance,Tech Services,0,74.19,8.2,0.0,0,0,4,1121.71,1,-30500.0,13870.16,2024-05,173300.79,61579.45,179500.0
2024-05-21,Freelance,Tech Services,0,74.83,8.2,0.0,0,0,7,4730.18,1,-127900.0,13870.16,2024-05,173300.79,61579.45,179500.0
2024-05-22,Freelance,Tech Services,0,75.24,8.4,20034.88,1,5,3,1439.67,1,541600.0,9199.73,2024-05,173300.79,61579.45,179500.0
2024-05-23,Freelance,Tech Services,0,74.1,8.7,0.0,0,0,6,862.33,1,-25300.0,7572.47,2024-05,173300.79,61579.45,179500.0
2024-05-24,Freelance,Tech Services,0,74.05,8.4,0.0,0,0,4,1168.83,1,-31900.0,7572.47,2024-05,173300.79,61579.45,179500.0
2024-05-25,Freelance,Tech Services,0,74.52,8.6,0.0,0,0,9,660.1,1,-18500.0,7572.47,2024-05,173300.79,61579.45,179500.0
2024-05-26,Freelance,Tech Services,0,75.17,8.3,0.0,0,0,0,1145.63,1,-32400.0,7572.47,2024-05,173300.79,61579.45,179500.0
2024-05-27,Freelance,Tech Services,0,74.03,8.4,0.0,0,0,5,1632.37,1,-43300.0,7572.47,2024-05,173300.79,61579.45,179500.0
2024-05-28,Freelance,Tech Services,0,74.08,8.7,28078.65,1,9,3,2777.73,1,744400.0,11965.96,2024-05,173300.79,61579.45,179500.0
2024-05-29,Freelance,Tech Services,0,74.5,8.2,0.0,0,0,7,877.72,1,-24100.0,10612.73,2024-05,173300.79,61579.45,179500.0
2024-05-30,Freelance,Tech Services,0,74.54,8.0,44454.58,1,16,2,1796.95,1,1239900.0,18316.84,2024-05,173300.79,61579.45,179500.0
2024-05-31,Freelance,Tech Services,0,73.98,8.5,0.0,0,0,7,647.48,1,-18900.0,18316.84,2024-05,173300.79,61579.45,179500.0
2024-06-01,Freelance,Tech Services,0,74.15,8.1,26788.1,1,19,2,1168.57,1,739300.0,18587.52,2024-06,220596.92,74448.8,228000.0
2024-06-02,Freelance,Tech Services,0,74.76,8.5,0.0,0,0,0,1513.77,1,-43900.0,18587.52,2024-06,220596.92,74448.8,228000.0
2024-06-03,Freelance,Tech Services,0,74.87,8.5,0.0,0,0,8,8669.27,1,-239100.0,18587.52,2024-06,220596.92,74448.8,228000.0
2024-06-04,Freelance,Tech Services,0,74.15,8.0,0.0,0,0,4,1981.02,1,-57900.0,18114.16,2024-06,220596.92,74448.8,228000.0
2024-06-05,Freelance,Tech Services,0,75.29,8.2,0.0,0,0,4,4543.92,1,-126400.0,18114.16,2024-06,220596.92,74448.8,228000.0
2024-06-06,Freelance,Tech Services,0,74.43,8.6,0.0,0,0,5,1659.21,1,-48700.0,10124.95,2024-06,220596.92,74448.8,228000.0
2024-06-07,Freelance,Tech Services,0,74.85,8.4,0.0,0,0,9,2322.31,1,-65800.0,10124.95,2024-06,220596.92,74448.8,228000.0
2024-06-08,Freelance,Tech Services,0,75.67,8.2,0.0,0,0,9,1830.98,1,-51000.0,0.0,2024-06,220596.92,74448.8,228000.0
2024-06-09,Freelance,Tech Services,0,75.07,8.3,0.0,0,0,0,907.42,1,-26400.0,0.0,2024-06,220596.92,74448.8,228000.0
2024-06-10,Freelance,Tech Services,0,74.75,8.6,0.0,0,0,9,1166.46,1,-34400.0,0.0,2024-06,220596.92,74448.8,228000.0
2024-06-11,Freelance,Tech Services,0,74.89,8.4,0.0,0,0,10,1484.4,1,-41500.0,0.0,2024-06,220596.92,74448.8,228000.0
2024-06-12,Freelance,Tech Services,0,75.19,8.2,0.0,0,0,8,1390.8,1,-38900.0,0.0,2024-06,220596.92,74448.8,228000.0
2024-06-13,Freelance,Tech Services,0,74.25,8.1,0.0,0,0,4,903.99,1,-26000.0,0.0,2024-06,220596.92,74448.8,228000.0
2024-06-14,Freelance,Tech Services,0,73.7,8.7,44861.63,1,15,3,633.74,1,1243800.0,16956.1,2024-06,220596.92,74448.8,228000.0
2024-06-15,Freelance,Tech Services,0,74.15,8.3,39233.05,1,13,8,2081.21,1,1037500.0,20581.24,2024-06,220596.92,74448.8,228000.0
2024-06-16,Freelance,Tech Services,0,74.57,8.4,0.0,0,0,0,1017.05,1,-27400.0,20581.24,2024-06,220596.92,74448.8,228000.0
2024-06-17,Freelance,Tech Services,0,75.14,8.5,44675.66,1,12,3,889.19,1,1291600.0,23017.69,2024-06,220596.92,74448.8,228000.0
2024-06-18,Freelance,Tech Services,0,74.45,8.3,0.0,0,0,8,7896.82,1,-220300.0,23017.69,2024-06,220596.92,74448.8,228000.0
2024-06-19,Freelance,Tech Services,0,74.9,8.3,0.0,0,0,10,8563.67,1,-242500.0,23017.69,2024-06,220596.92,74448.8,228000.0
2024-06-20,Freelance,Tech Services,0,75.58,8.4,0.0,0,0,7,1469.4,1,-40600.0,23017.69,2024-06,220596.92,74448.8,228000.0
2024-06-21,Freelance,Tech Services,0,75.16,8.4,0.0,0,0,6,4631.26,1,-127000.0,20531.83,2024-06,220596.92,74448.8,228000.0
2024-06-22,Freelance,Tech Services,0,75.39,8.3,0.0,0,0,8,1259.08,1,-35000.0,16885.81,2024-06,220596.92,74448.8,228000.0
2024-06-23,Freelance,Tech Services,0,74.17,8.4,0.0,0,0,0,1947.92,1,-55000.0,16885.81,2024-06,220596.92,74448.8,228000.0
2024-06-24,Freelance,Tech Services,0,74.51,8.2,28798.68,1,16,5,1632.89,1,763000.0,10884.88,2024-06,220596.92,74448.8,228000.0
2024-06-25,Freelance,Tech Services,0,75.15,8.5,0.0,0,0,5,3349.15,1,-97400.0,10884.88,2024-06,220596.92,74448.8,228000.0
2024-06-26,Freelance,Tech Services,0,74.88,8.4,0.0,0,0,6,2524.24,1,-67600.0,10884.88,2024-06,220596.92,74448.8,228000.0
2024-06-27,Freelance,Tech Services,0,75.74,8.3,0.0,0,0,6,1810.77,1,-52400.0,10884.88,2024-06,220596.92,74448.8,228000.0
2024-06-28,Freelance,Tech Services,0,76.2,8.4,0.0,0,0,8,2539.7,1,-74100.0,10884.88,2024-06,220596.92,74448.8,228000.0
2024-06-29,Freelance,Tech Services,0,74.04,8.5,0.0,0,0,5,933.68,1,-25800.0,10884.88,2024-06,220596.92,74448.8,228000.0
